date,country,daily_hits
20180111,SV,1
20180109,SV,1
20180104,SV,1
20180110,SX,1
20180102,SY,1
20180112,TH,14
20180111,TH,15
20180110,TH,14
20180109,TH,11
20180108,TH,11
20180107,TH,9
20180106,TH,13
20180105,TH,13
20180104,TH,14
20180103,TH,12
20180102,TH,10
20180101,TH,16
20180109,TJ,1
20180106,TJ,1
20180110,TN,1
20180109,TN,2
20180108,TN,2
20180106,TN,3
20180104,TN,2
20180101,TN,2
20180112,TR,16
20180111,TR,14
20180110,TR,17
20180109,TR,24
20180108,TR,11
20180107,TR,17
20180106,TR,17
20180105,TR,14
20180104,TR,18
20180103,TR,11
20180102,TR,21
20180101,TR,14
20180112,TT,4
20180110,TT,1
20180109,TT,1
20180106,TT,2
20180105,TT,1
20180104,TT,1
20180101,TT,1
20180112,TW,37
20180111,TW,45
20180110,TW,36
20180109,TW,32
20180108,TW,35
20180107,TW,45
20180106,TW,58
20180105,TW,29
20180104,TW,36
20180103,TW,29
20180102,TW,35
20180101,TW,28
20180112,TZ,2
20180111,TZ,1
20180107,TZ,1
20180105,TZ,1
20180103,TZ,1
20180112,UA,51
20180111,UA,58
20180110,UA,59
20180109,UA,63
20180108,UA,57
20180107,UA,60
20180106,UA,48
20180105,UA,76
20180104,UA,59
20180104,UA,52
20180103,UA,19
20180102,UA,23
20180105,UG,1
20180112,US,689
20180111,US,550
20180110,US,475
20180109,US,552
20180108,US,676
20180107,US,718
20180106,US,733
20180105,US,649
20180104,US,491
20180104,US,459
20180103,US,390
20180102,US,376
20180111,UY,1
20180110,UY,1
20180105,UY,1
20180112,VE,3
20180111,VE,2
20180110,VE,2
20180109,VE,2
20180108,VE,2
20180107,VE,3
20180106,VE,1
20180106,VE,3
20180102,VE,2
20180110,VC,1
20180112,VE,3
20180111,VE,4
20180110,VE,6
20180109,VE,2
20180108,VE,2
20180107,VE,4
20180107,VE,2
20180106,VE,5
20180105,VE,3
20180104,VE,2
20180103,VE,1
20180102,VE,2
20180112,VN,30
20180111,VN,18
20180110,VN,13
20180109,VN,20
20180108,VN,20
20180108,VN,23
20180107,VN,24
20180106,VN,18
20180105,VN,30
20180104,VN,32
20180103,VN,15
20180102,VN,24
20180107,VU,1
20180111,WS,1
20180111,YE,1
20180110,YE,1
20180109,YE,1
20180109,YE,1
20180108,YE,1
20180112,ZA,4
20180112,ZA,14
20180111,ZA,8
20180110,ZA,7
20180109,ZA,4
20180108,ZA,4
20180107,ZA,8
20180106,ZA,4
20180105,ZA,3
20180104,ZA,5
20180103,ZA,6
20180102,ZA,1
20180105,ZM,1
20180104,ZM,1
